135			0					
153			1				Bin	Frequency
0			2				0	106
0			3				1	0
0			4				2	0
0			5				3	0
315			6				4	0
44			7				5	0
44			8				6	0
0			9				7	0
180			10				8	0
333			11				9	0
315			12				10	0
333			13				11	0
90			14				12	0
333			15				13	0
333			16				14	0
153			17				15	0
90			18				16	0
44			19				17	0
44			20				18	7
0			21				19	0
153			22				20	0
153			23				21	0
315			24				22	0
135			25				23	0
135			26				24	0
153			27				25	0
333			28				26	7
153			29				27	0
315			30				28	0
135			31				29	0
44			32				30	0
71			33				31	0
90			34				32	0
0			35				33	0
71			36				34	0
44			37				35	0
153			38				36	0
315			39				37	0
135			40				38	0
0			41				39	0
315			42				40	0
135			43				41	0
26			44				42	0
90			45				43	0
0			46				44	51
153			47				45	0
135			48				46	0
333			49				47	0
0			50				48	0
296			51				49	0
0			52				50	0
90			53				51	0
26			54				52	0
180			55				53	0
153			56				54	0
18			57				55	0
90			58				56	0
71			59				57	0
135			60				58	0
71			61				59	0
44			62				60	0
135			63				61	0
44			64				62	0
0			65				63	2
153			66				64	0
153			67				65	0
333			68				66	0
180			69				67	0
153			70				68	0
153			71				69	0
0			72				70	0
135			73				71	16
135			74				72	0
315			75				73	0
153			76				74	0
153			77				75	0
90			78				76	0
44			79				77	0
153			80				78	0
333			81				79	0
0			82				80	0
180			83				81	0
0			84				82	0
0			85				83	0
153			86				84	0
315			87				85	0
153			88				86	0
71			89				87	0
153			90				88	0
153			91				89	0
44			92				90	24
135			93				91	0
18			94				92	0
315			95				93	0
135			96				94	0
153			97				95	0
71			98				96	0
44			99				97	0
135			100				98	0
153			101				99	0
0			102				100	0
0			103				101	0
153			104				102	0
153			105				103	0
180			106				104	0
153			107				105	0
0			108				106	0
315			109				107	0
44			110				108	0
180			111				109	0
153			112				110	0
153			113				111	0
153			114				112	0
180			115				113	0
153			116				114	0
315			117				115	0
153			118				116	2
0			119				117	0
315			120				118	0
0			121				119	0
315			122				120	0
153			123				121	0
153			124				122	0
153			125				123	0
315			126				124	0
44			127				125	0
0			128				126	0
135			129				127	0
153			130				128	0
333			131				129	0
153			132				130	0
315			133				131	0
18			134				132	0
153			135				133	0
0			136				134	0
135			137				135	62
153			138				136	0
116			139				137	0
44			140				138	0
333			141				139	0
153			142				140	0
153			143				141	0
180			144				142	0
90			145				143	0
0			146				144	0
315			147				145	0
0			148				146	0
315			149				147	0
0			150				148	0
180			151				149	0
71			152				150	0
0			153				151	0
44			154				152	0
26			155				153	127
333			156				154	0
153			157				155	0
153			158				156	0
135			159				157	0
71			160				158	0
26			161				159	0
0			162				160	0
333			163				161	1
333			164				162	0
153			165				163	0
135			166				164	0
315			167				165	0
153			168				166	0
0			169				167	0
180			170				168	0
180			171				169	0
135			172				170	0
135			173				171	0
315			174				172	0
153			175				173	0
90			176				174	0
90			177				175	0
90			178				176	0
135			179				177	0
315			180				178	0
135			181				179	0
44			182				180	35
0			183				181	0
153			184				182	0
153			185				183	0
153			186				184	0
71			187				185	0
153			188				186	0
180			189				187	0
315			190				188	0
153			191				189	0
0			192				190	0
333			193				191	0
135			194				192	0
333			195				193	0
153			196				194	0
0			197				195	0
135			198				196	0
153			199				197	0
153			200				198	0
153			201				199	0
153			202				200	0
153			203				201	0
333			204				202	0
0			205				203	0
90			206				204	0
0			207				205	0
153			208				206	1
44			209				207	0
153			210				208	0
153			211				209	0
26			212				210	0
63			213				211	0
135			214				212	0
44			215				213	0
63			216				214	0
153			217				215	0
0			218				216	0
153			219				217	0
153			220				218	0
153			221				219	0
71			222				220	0
315			223				221	0
153			224				222	0
90			225				223	0
296			226				224	0
153			227				225	0
44			228				226	0
0			229				227	0
135			230				228	0
333			231				229	0
0			232				230	0
153			233				231	0
0			234				232	0
44			235				233	0
153			236				234	0
180			237				235	0
135			238				236	0
153			239				237	0
153			240				238	0
90			241				239	0
44			242				240	0
26			243				241	0
153			244				242	0
153			245				243	0
0			246				244	0
0			247				245	0
153			248				246	0
153			249				247	0
0			250				248	0
90			251				249	0
153			252				250	0
180			253				251	0
44			254				252	0
90			255				253	0
315			256				254	0
153			257				255	0
44			258				256	0
333			259				257	0
135			260				258	0
0			261				259	0
153			262				260	0
0			263				261	0
135			264				262	0
0			265				263	0
153			266				264	0
153			267				265	0
135			268				266	0
0			269				267	0
153			270				268	0
