i= 0, j= 0, value= 0
i= 0, j= 1, value= 0
i= 0, j= 2, value= 0
i= 0, j= 3, value= 0
i= 0, j= 4, value= 0
i= 0, j= 5, value= 0
i= 0, j= 6, value= 0
i= 0, j= 7, value= 0
i= 0, j= 8, value= 0
i= 0, j= 9, value= 0
i= 0, j= 10, value= 0
i= 0, j= 11, value= 0
i= 0, j= 12, value= 0
i= 0, j= 13, value= 0
i= 0, j= 14, value= 0
i= 0, j= 15, value= 0
i= 0, j= 16, value= 0
i= 0, j= 17, value= 0
i= 0, j= 18, value= 0
i= 0, j= 19, value= 0
i= 0, j= 20, value= 0
i= 0, j= 21, value= 0
i= 0, j= 22, value= 0
i= 0, j= 23, value= 0
i= 0, j= 24, value= 0
i= 0, j= 25, value= 0
i= 0, j= 26, value= 0
i= 0, j= 27, value= 0
i= 0, j= 28, value= 0
i= 0, j= 29, value= 0
i= 0, j= 30, value= 0
i= 0, j= 31, value= 0
i= 0, j= 32, value= 0
i= 0, j= 33, value= 0
i= 0, j= 34, value= 0
i= 0, j= 35, value= 0
i= 0, j= 36, value= 0
i= 3, j= 0, value= 18
i= 3, j= 1, value= 18
i= 5, j= 0, value= 26
i= 5, j= 1, value= 26
i= 8, j= 0, value= 44
i= 8, j= 1, value= 44
i= 8, j= 2, value= 44
i= 8, j= 3, value= 44
i= 14, j= 0, value= 71
i= 18, j= 0, value= 90
i= 18, j= 1, value= 90
i= 18, j= 2, value= 90
i= 18, j= 3, value= 90
i= 18, j= 4, value= 90
i= 21, j= 0, value= 108
i= 23, j= 0, value= 116
i= 27, j= 0, value= 135
i= 27, j= 1, value= 135
i= 27, j= 2, value= 135
i= 27, j= 3, value= 135
i= 27, j= 4, value= 135
i= 27, j= 5, value= 135
i= 27, j= 6, value= 135
i= 27, j= 7, value= 135
i= 27, j= 8, value= 135
i= 27, j= 9, value= 135
i= 27, j= 10, value= 135
i= 27, j= 11, value= 135
i= 27, j= 12, value= 135
i= 27, j= 13, value= 135
i= 27, j= 14, value= 135
i= 27, j= 15, value= 135
i= 27, j= 16, value= 135
i= 27, j= 17, value= 135
i= 27, j= 18, value= 135
i= 27, j= 19, value= 135
i= 27, j= 20, value= 135
i= 27, j= 21, value= 135
i= 27, j= 22, value= 135
i= 27, j= 23, value= 135
i= 27, j= 24, value= 135
i= 30, j= 0, value= 153
i= 30, j= 1, value= 153
i= 30, j= 2, value= 153
i= 30, j= 3, value= 153
i= 30, j= 4, value= 153
i= 30, j= 5, value= 153
i= 30, j= 6, value= 153
i= 30, j= 7, value= 153
i= 30, j= 8, value= 153
i= 30, j= 9, value= 153
i= 30, j= 10, value= 153
i= 30, j= 11, value= 153
i= 30, j= 12, value= 153
i= 32, j= 0, value= 161
i= 32, j= 1, value= 161
i= 32, j= 2, value= 161
i= 36, j= 0, value= 180
i= 36, j= 1, value= 180
i= 36, j= 2, value= 180
i= 36, j= 3, value= 180
i= 36, j= 4, value= 180
i= 36, j= 5, value= 180
i= 36, j= 6, value= 180
i= 36, j= 7, value= 180
i= 36, j= 8, value= 180
i= 36, j= 9, value= 180
i= 36, j= 10, value= 180
i= 36, j= 11, value= 180
i= 36, j= 12, value= 180
i= 36, j= 13, value= 180
i= 36, j= 14, value= 180
i= 36, j= 15, value= 180
i= 36, j= 16, value= 180
i= 36, j= 17, value= 180
i= 36, j= 18, value= 180
i= 36, j= 19, value= 180
i= 36, j= 20, value= 180
i= 36, j= 21, value= 180
i= 36, j= 22, value= 180
i= 36, j= 23, value= 180
i= 36, j= 24, value= 180
i= 36, j= 25, value= 180
i= 36, j= 26, value= 180
i= 36, j= 27, value= 180
i= 39, j= 0, value= 198
i= 41, j= 0, value= 206
i= 41, j= 1, value= 206
i= 41, j= 2, value= 206
i= 41, j= 3, value= 206
i= 44, j= 0, value= 224
i= 44, j= 1, value= 224
i= 50, j= 0, value= 251
i= 54, j= 0, value= 270
i= 54, j= 1, value= 270
i= 54, j= 2, value= 270
i= 54, j= 3, value= 270
i= 54, j= 4, value= 270
i= 54, j= 5, value= 270
i= 54, j= 6, value= 270
i= 54, j= 7, value= 270
i= 54, j= 8, value= 270
i= 54, j= 9, value= 270
i= 54, j= 10, value= 270
i= 54, j= 11, value= 270
i= 54, j= 12, value= 270
i= 54, j= 13, value= 270
i= 54, j= 14, value= 270
i= 54, j= 15, value= 270
i= 57, j= 0, value= 288
i= 59, j= 0, value= 296
i= 59, j= 1, value= 296
i= 63, j= 0, value= 315
i= 63, j= 1, value= 315
i= 63, j= 2, value= 315
i= 63, j= 3, value= 315
i= 63, j= 4, value= 315
i= 63, j= 5, value= 315
i= 63, j= 6, value= 315
i= 63, j= 7, value= 315
i= 63, j= 8, value= 315
i= 63, j= 9, value= 315
i= 63, j= 10, value= 315
i= 63, j= 11, value= 315
i= 63, j= 12, value= 315
i= 63, j= 13, value= 315
i= 63, j= 14, value= 315
i= 63, j= 15, value= 315
i= 63, j= 16, value= 315
i= 66, j= 0, value= 333
i= 66, j= 1, value= 333
i= 66, j= 2, value= 333
i= 66, j= 3, value= 333
i= 66, j= 4, value= 333
i= 66, j= 5, value= 333
i= 66, j= 6, value= 333
i= 66, j= 7, value= 333
i= 66, j= 8, value= 333
i= 66, j= 9, value= 333
i= 66, j= 10, value= 333
i= 66, j= 11, value= 333
i= 66, j= 12, value= 333
i= 66, j= 13, value= 333
i= 68, j= 0, value= 341
i= 68, j= 1, value= 341
