Component 1 is on image boundary
Component 2 is on image boundary
Component 3 is on image boundary
Component 4 is on image boundary
Component 5 is on image boundary
Component 6 is on image boundary
Component 7 is on image boundary
Component 8 is on image boundary
Component 9 is on image boundary
Component 10 is on image boundary
Component 11 is on image boundary
Component 12 is on image boundary
Component 13 is on image boundary
Component 14 is on image boundary
Component 15 is on image boundary
Component 16 is on image boundary
Component 17 is on image boundary
Component 18 is on image boundary
Component 19 is on image boundary
Component 20 is on image boundary
Component 21 is on image boundary
Component 22 is on image boundary
Component 23 is on image boundary
Component 24 is on image boundary
Component 25 is on image boundary
Component 26 is on image boundary
Component 27 is NOT on image boundary
Component 28 is NOT on image boundary
Component 29 is NOT on image boundary
Component 30 is NOT on image boundary
Component 31 is NOT on image boundary
Component 32 is NOT on image boundary
Component 33 is NOT on image boundary
Component 34 is NOT on image boundary
Component 35 is NOT on image boundary
Component 36 is NOT on image boundary
Component 37 is NOT on image boundary
Component 38 is NOT on image boundary
Component 39 is NOT on image boundary
Component 40 is NOT on image boundary
Component 41 is NOT on image boundary
Component 42 is NOT on image boundary
Component 43 is NOT on image boundary
Component 44 is NOT on image boundary
Component 45 is NOT on image boundary
Component 46 is NOT on image boundary
Component 47 is NOT on image boundary
Component 48 is NOT on image boundary
Component 49 is NOT on image boundary
Component 50 is NOT on image boundary
Component 51 is NOT on image boundary
Component 52 is NOT on image boundary
Component 53 is NOT on image boundary
Component 54 is NOT on image boundary
Component 55 is NOT on image boundary
Component 56 is NOT on image boundary
Component 57 is NOT on image boundary
Component 58 is NOT on image boundary
Component 59 is NOT on image boundary
Component 60 is NOT on image boundary
Component 61 is NOT on image boundary
Component 62 is NOT on image boundary
Component 63 is NOT on image boundary
Component 64 is NOT on image boundary
Component 65 is NOT on image boundary
Component 66 is NOT on image boundary
Component 67 is NOT on image boundary
Component 68 is NOT on image boundary
Component 69 is NOT on image boundary
Component 70 is NOT on image boundary
Component 71 is NOT on image boundary
Component 72 is NOT on image boundary
Component 73 is NOT on image boundary
Component 74 is NOT on image boundary
Component 75 is NOT on image boundary
Component 76 is NOT on image boundary
Component 77 is NOT on image boundary
Component 78 is NOT on image boundary
Component 79 is NOT on image boundary
Component 80 is NOT on image boundary
Component 81 is NOT on image boundary
Component 82 is NOT on image boundary
Component 83 is NOT on image boundary
Component 84 is NOT on image boundary
Component 85 is NOT on image boundary
Component 86 is NOT on image boundary
Component 87 is NOT on image boundary
Component 88 is NOT on image boundary
Component 89 is NOT on image boundary
Component 90 is NOT on image boundary
Component 91 is NOT on image boundary
Component 92 is NOT on image boundary
Component 93 is NOT on image boundary
Component 94 is NOT on image boundary
Component 95 is NOT on image boundary
Component 96 is NOT on image boundary
Component 97 is NOT on image boundary
Component 98 is NOT on image boundary
Component 99 is NOT on image boundary
Component 100 is NOT on image boundary
Component 101 is NOT on image boundary
Component 102 is NOT on image boundary
Component 103 is NOT on image boundary
Component 104 is NOT on image boundary
Component 105 is NOT on image boundary
Component 106 is NOT on image boundary
Component 107 is NOT on image boundary
Component 108 is NOT on image boundary
Component 109 is NOT on image boundary
Component 110 is NOT on image boundary
Component 111 is NOT on image boundary
Component 112 is NOT on image boundary
Component 113 is NOT on image boundary
Component 114 is NOT on image boundary
Component 115 is NOT on image boundary
Component 116 is NOT on image boundary
Component 117 is NOT on image boundary
Component 118 is NOT on image boundary
Component 119 is NOT on image boundary
Component 120 is NOT on image boundary
Component 121 is NOT on image boundary
Component 122 is NOT on image boundary
Component 123 is NOT on image boundary
Component 124 is NOT on image boundary
Component 125 is NOT on image boundary
Component 126 is NOT on image boundary
Component 127 is NOT on image boundary
Component 128 is NOT on image boundary
Component 129 is NOT on image boundary
Component 130 is NOT on image boundary
Component 131 is NOT on image boundary
Component 132 is NOT on image boundary
Component 133 is NOT on image boundary
Component 134 is NOT on image boundary
Component 135 is NOT on image boundary
