[22, 1;
 23, 1;
 24, 1;
 25, 1;
 26, 1;
 27, 1;
 35, 1;
 36, 1;
 37, 1;
 44, 1;
 22, 2;
 23, 2;
 24, 2;
 25, 2;
 26, 2;
 27, 2;
 35, 2;
 36, 2;
 37, 2;
 44, 2;
 22, 3;
 23, 3;
 24, 3;
 25, 3;
 26, 3;
 27, 3;
 35, 3;
 36, 3;
 37, 3;
 44, 3;
 23, 4;
 24, 4;
 25, 4;
 26, 4;
 27, 4;
 28, 4;
 29, 4;
 35, 4;
 36, 4;
 37, 4;
 38, 4;
 43, 4;
 44, 4;
 45, 4;
 23, 5;
 24, 5;
 25, 5;
 26, 5;
 27, 5;
 28, 5;
 29, 5;
 30, 5;
 35, 5;
 36, 5;
 37, 5;
 38, 5;
 43, 5;
 44, 5;
 46, 5;
 23, 6;
 24, 6;
 25, 6;
 26, 6;
 27, 6;
 28, 6;
 29, 6;
 30, 6;
 35, 6;
 36, 6;
 37, 6;
 38, 6;
 43, 6;
 44, 6;
 45, 6;
 46, 6;
 25, 7;
 26, 7;
 27, 7;
 28, 7;
 29, 7;
 30, 7;
 31, 7;
 32, 7;
 35, 7;
 36, 7;
 37, 7;
 38, 7;
 39, 7;
 40, 7;
 41, 7;
 42, 7;
 43, 7;
 44, 7;
 45, 7;
 46, 7;
 47, 7;
 25, 8;
 26, 8;
 27, 8;
 28, 8;
 29, 8;
 30, 8;
 31, 8;
 32, 8;
 35, 8;
 36, 8;
 37, 8;
 38, 8;
 39, 8;
 40, 8;
 41, 8;
 42, 8;
 43, 8;
 44, 8;
 45, 8;
 46, 8;
 47, 8;
 25, 9;
 26, 9;
 27, 9;
 28, 9;
 29, 9;
 30, 9;
 31, 9;
 32, 9;
 35, 9;
 36, 9;
 37, 9;
 38, 9;
 39, 9;
 40, 9;
 41, 9;
 42, 9;
 43, 9;
 44, 9;
 45, 9;
 46, 9;
 47, 9;
 26, 10;
 27, 10;
 28, 10;
 29, 10;
 30, 10;
 31, 10;
 32, 10;
 33, 10;
 34, 10;
 35, 10;
 36, 10;
 37, 10;
 38, 10;
 39, 10;
 40, 10;
 41, 10;
 42, 10;
 43, 10;
 44, 10;
 45, 10;
 46, 10;
 47, 10;
 48, 10;
 26, 11;
 27, 11;
 28, 11;
 29, 11;
 30, 11;
 31, 11;
 32, 11;
 33, 11;
 34, 11;
 35, 11;
 36, 11;
 37, 11;
 38, 11;
 39, 11;
 40, 11;
 41, 11;
 42, 11;
 43, 11;
 44, 11;
 45, 11;
 46, 11;
 47, 11;
 48, 11;
 26, 12;
 27, 12;
 28, 12;
 29, 12;
 30, 12;
 31, 12;
 32, 12;
 33, 12;
 34, 12;
 35, 12;
 36, 12;
 37, 12;
 38, 12;
 39, 12;
 40, 12;
 41, 12;
 42, 12;
 43, 12;
 44, 12;
 45, 12;
 46, 12;
 47, 12;
 48, 12;
 29, 13;
 30, 13;
 31, 13;
 32, 13;
 33, 13;
 34, 13;
 35, 13;
 36, 13;
 37, 13;
 38, 13;
 39, 13;
 40, 13;
 41, 13;
 42, 13;
 43, 13;
 44, 13;
 45, 13;
 46, 13;
 47, 13;
 48, 13;
 49, 13;
 50, 13;
 51, 13;
 29, 14;
 30, 14;
 31, 14;
 32, 14;
 33, 14;
 34, 14;
 35, 14;
 36, 14;
 37, 14;
 38, 14;
 39, 14;
 40, 14;
 41, 14;
 42, 14;
 43, 14;
 44, 14;
 45, 14;
 46, 14;
 47, 14;
 48, 14;
 49, 14;
 50, 14;
 51, 14;
 29, 15;
 30, 15;
 31, 15;
 32, 15;
 33, 15;
 34, 15;
 35, 15;
 36, 15;
 37, 15;
 38, 15;
 39, 15;
 40, 15;
 41, 15;
 42, 15;
 43, 15;
 44, 15;
 45, 15;
 46, 15;
 47, 15;
 48, 15;
 49, 15;
 50, 15;
 51, 15;
 30, 16;
 31, 16;
 32, 16;
 33, 16;
 34, 16;
 35, 16;
 36, 16;
 41, 16;
 44, 16;
 45, 16;
 46, 16;
 47, 16;
 48, 16;
 49, 16;
 50, 16;
 51, 16;
 52, 16;
 53, 16;
 30, 17;
 31, 17;
 32, 17;
 33, 17;
 34, 17;
 35, 17;
 36, 17;
 41, 17;
 44, 17;
 45, 17;
 46, 17;
 47, 17;
 48, 17;
 49, 17;
 50, 17;
 51, 17;
 52, 17;
 31, 18;
 32, 18;
 33, 18;
 34, 18;
 35, 18;
 36, 18;
 41, 18;
 42, 18;
 43, 18;
 44, 18;
 45, 18;
 46, 18;
 47, 18;
 48, 18;
 49, 18;
 50, 18;
 51, 18;
 52, 18;
 32, 19;
 33, 19;
 34, 19;
 35, 19;
 36, 19;
 45, 19;
 48, 19;
 49, 19;
 50, 19;
 51, 19;
 52, 19;
 53, 19;
 54, 19;
 55, 19;
 32, 20;
 33, 20;
 34, 20;
 35, 20;
 36, 20;
 47, 20;
 48, 20;
 49, 20;
 50, 20;
 51, 20;
 52, 20;
 53, 20;
 54, 20;
 55, 20;
 32, 21;
 33, 21;
 34, 21;
 35, 21;
 36, 21;
 46, 21;
 48, 21;
 49, 21;
 50, 21;
 51, 21;
 52, 21;
 53, 21;
 54, 21;
 55, 21;
 56, 21;
 34, 22;
 35, 22;
 36, 22;
 37, 22;
 54, 22;
 55, 22;
 56, 22;
 34, 23;
 35, 23;
 36, 23;
 37, 23;
 38, 23;
 54, 23;
 55, 23;
 56, 23;
 34, 24;
 35, 24;
 36, 24;
 37, 24;
 54, 24;
 55, 24;
 56, 24;
 35, 25;
 36, 25;
 37, 25;
 38, 25;
 39, 25;
 55, 25;
 35, 26;
 36, 26;
 37, 26;
 38, 26;
 39, 26;
 55, 26;
 35, 27;
 36, 27;
 37, 27;
 38, 27;
 39, 27;
 36, 28;
 37, 28;
 38, 28;
 39, 28;
 40, 28;
 41, 28;
 36, 29;
 37, 29;
 38, 29;
 39, 29;
 40, 29;
 41, 29;
 36, 30;
 37, 30;
 38, 30;
 39, 30;
 40, 30;
 41, 30;
 39, 31;
 40, 31;
 41, 31;
 42, 31;
 39, 32;
 40, 32;
 41, 32;
 42, 32;
 39, 33;
 40, 33;
 41, 33;
 42, 33;
 39, 34;
 40, 34;
 41, 34;
 42, 34;
 43, 34;
 44, 34;
 39, 35;
 40, 35;
 41, 35;
 42, 35;
 43, 35;
 44, 35;
 39, 36;
 40, 36;
 41, 36;
 42, 36;
 43, 36;
 44, 36;
 39, 37;
 40, 37;
 41, 37;
 42, 37;
 43, 37;
 44, 37;
 39, 38;
 40, 38;
 41, 38;
 42, 38;
 43, 38;
 44, 38;
 39, 39;
 40, 39;
 41, 39;
 42, 39;
 43, 39;
 44, 39;
 39, 40;
 40, 40;
 41, 40;
 42, 40;
 43, 40;
 44, 40;
 39, 41;
 40, 41;
 41, 41;
 42, 41;
 43, 41;
 44, 41;
 39, 42;
 40, 42;
 41, 42;
 42, 42;
 43, 42;
 44, 42;
 43, 43;
 44, 43;
 46, 43;
 43, 44;
 44, 44;
 46, 44;
 47, 44;
 43, 45;
 44, 45;
 45, 45;
 47, 45;
 48, 45;
 45, 46;
 46, 46;
 47, 46;
 45, 47;
 46, 47;
 47, 47;
 45, 48;
 46, 48;
 47, 48]
